efo_id,disease_name,us_patients,us_prevalence_per_100k,source,as_of
MONDO_0010622,Recessive X-linked ichthyosis,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
Orphanet_166421,Orgasm-induced epilepsy,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_166418,Eating reflex epilepsy,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009662,Mucopolysaccharidosis type 7,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, United States)",2025
Orphanet_166412,Hot water reflex epilepsy,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
Orphanet_166433,Epilepsy with reading-induced seizures,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0019499,Turner syndrome,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
Orphanet_95,Friedreich ataxia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0019402,Beta-thalassemia,16650,5.0,"Orphanet Annual incidence (1-9 / 100 000, Worldwide)",2025
MONDO_0011399,Alpha-thalassemia,99900,30.0,"Orphanet Prevalence at birth (1-5 / 10 000, United States)",2025
MONDO_0009061,Cystic fibrosis,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
EFO_0700060,Duchenne and Becker muscular dystrophy,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, United States)",2025
MONDO_0016830,Emery-Dreifuss muscular dystrophy,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0010789,MELAS,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0001347,Facioscapulohumeral dystrophy,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0010787,Kearns-Sayre syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0010790,MERRF,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Sweden)",2025
EFO_1000855,Central core disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0018958,Nemaline myopathy,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Europe)",2025
MONDO_0012198,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008195,Paramyotonia congenita of Von Eulenburg,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0013626,Acrodermatitis continua of Hallopeau,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0008056,Steinert myotonic dystrophy,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Worldwide)",2025
MONDO_0010417,"X-linked intellectual disability, Najm type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_163934,Atopic keratoconjunctivitis,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0009710,Thomsen and Becker disease,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0010463,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0015600,"X-linked intellectual disability, Cilliers type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0015601,"X-linked intellectual disability, Van Esch type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010412,X-linked intellectual disability-craniofacioskeletal syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010461,"X-linked intellectual disability, Nascimento type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010464,X-linked cerebral-cerebellar-coloboma syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,1665,0.5,"Orphanet Annual incidence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0010526,Fabry disease,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Worldwide)",2025
MONDO_0010375,Hyperekplexia-epilepsy syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010726,Rett syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0007113,Angelman syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0009696,Juvenile myoclonic epilepsy,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Norway)",2025
MONDO_0800453,Juvenile absence epilepsy,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0008667,Von Hippel-Lindau disease,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0009889,Autosomal recessive polycystic kidney disease,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Germany)",2025
MONDO_0008965,CHARGE syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0007947,Marfan syndrome,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, United States)",2025
MONDO_0004976,Amyotrophic lateral sclerosis,16650,5.0,"Orphanet Annual incidence (1-9 / 100 000, United States)",2025
MONDO_0008840,Ataxia-telangiectasia,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
Orphanet_733,Familial adenomatous polyposis,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0007739,Huntington disease,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, United States)",2025
Orphanet_165955,Wound myiasis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009697,Lafora disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
Orphanet_165958,Cavitary myiasis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0001064,Down syndrome,333000,100.0,"Orphanet Prevalence at birth (>1 / 1000, United States)",2025
MONDO_0018868,Metachromatic leukodystrophy,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0011109,"Multiple epiphyseal dysplasia, Lowry type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018923,22q11.2 deletion syndrome,99900,30.0,"Orphanet Prevalence at birth (1-5 / 10 000, United States)",2025
MONDO_0011382,Sickle cell anemia,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, United States)",2025
MONDO_0007915,Systemic lupus erythematosus,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, United States)",2025
MONDO_0015627,Multiple epiphyseal dysplasia due to collagen 9 anomaly,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010645,Oculocerebrorenal syndrome of Lowe,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0008380,Retinoblastoma,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0012396,Exercise-induced hyperinsulinism,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007540,Multiple endocrine neoplasia type 1,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0010383,Fragile X syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
EFO_1001160,Rheumatic fever,16650,5.0,"Orphanet Annual incidence (1-9 / 100 000, Europe)",2025
MONDO_0008300,Prader-Willi syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, United States)",2025
MONDO_0010421,X-linked agammaglobulinemia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, United States)",2025
MONDO_0010674,Mucopolysaccharidosis type 2,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, United States)",2025
MONDO_0001586,Mucopolysaccharidosis type 1,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, United States)",2025
MONDO_0010200,Wilson disease,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0010725,X-linked retinoschisis,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
Orphanet_163525,Subacute cutaneous lupus erythematosus,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, United States)",2025
MONDO_0019353,Stargardt disease,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0010518,Wiskott-Aldrich syndrome,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, United States)",2025
MONDO_0008678,Williams syndrome,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Norway)",2025
MONDO_0008684,Wolf-Hirschhorn syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0007037,Achondroplasia,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0010188,Ataxia with vitamin E deficiency,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0007435,Dentatorubral pallidoluysian atrophy,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0019188,Rubinstein-Taybi syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0011261,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0000050,Non-acquired isolated growth hormone deficiency,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
EFO_0005555,T-B+ severe combined immunodeficiency due to gamma chain deficiency,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0012716,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010735,Kennedy disease,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
EFO_0007409,Ornithine transcarbamylase deficiency,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0008472,"Spondyloepiphyseal dysplasia, MacDermot type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010902,"Spondyloepiphyseal dysplasia, Reardon type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009352,Homocystinuria due to cystathionine beta-synthase deficiency,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Worldwide)",2025
MONDO_0010073,"Spondyloepiphyseal dysplasia tarda, Kohn type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009517,Donohue syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018570,Hypophosphatasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, China)",2025
MONDO_0015579,Hemoglobin Bart's fetalis syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0007793,Hypochondroplasia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0010788,Leber hereditary optic neuropathy,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0010611,Hydrocephalus with stenosis of the aqueduct of Sylvius,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0013808,Maffucci syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018975,Neurofibromatosis type 1,99900,30.0,"Orphanet Prevalence at birth (1-5 / 10 000, United States)",2025
Orphanet_163703,Febrile infection-related epilepsy syndrome,1665,0.5,"Orphanet Annual incidence (1-9 / 1 000 000, Germany)",2025
MONDO_0010691,Norrie disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011970,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0013391,Leukoencephalopathy-dystonia-motor neuropathy syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018305,Chronic granulomatous disease,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, United States)",2025
MONDO_0010563,Blue cone monochromatism,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0010794,NARP syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0007039,Full NF2-related schwannomatosis,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0009699,Action myoclonus-renal failure syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010585,X-linked hypohidrotic ectodermal dysplasia,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0015583,2p21 microdeletion syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0011669,Hypotonia-cystinuria syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007606,Fibrodysplasia ossificans progressiva,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, United States)",2025
MONDO_0007187,Gorlin syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0018997,Noonan syndrome,249750,75.0,"Orphanet Prevalence at birth (6-9 / 10 000, United States)",2025
MONDO_0007404,Monosomy 5p syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Japan)",2025
MONDO_0009916,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Netherlands)",2025
MONDO_0009067,Cystinuria,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0010298,Lesch-Nyhan syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0018875,Li-Fraumeni syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, United States)",2025
MONDO_0010797,Pearson syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008087,Hereditary neuropathy with liability to pressure palsies,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0013282,Alpha-1-antitrypsin deficiency,99900,30.0,"Orphanet Prevalence at birth (1-5 / 10 000, United States)",2025
MONDO_0019517,Waardenburg syndrome type 2,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007142,Townes-Brocks syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0008670,Waardenburg syndrome type 1,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0008224,Hyperkalemic periodic paralysis,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0009717,Schwartz-Jampel syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009107,Diastrophic dysplasia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
EFO_0001068,Malaria,249750,75.0,"Orphanet Annual incidence (6-9 / 10 000, Worldwide)",2025
MONDO_0008223,Hypokalemic periodic paralysis,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0007029,BOR syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0019180,Hereditary hemorrhagic telangiectasia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, United States)",2025
MONDO_0007042,Saethre-Chotzen syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0007043,Pfeiffer syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Europe)",2025
MONDO_0008280,Peutz-Jeghers syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0008681,WAGR syndrome,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Worldwide)",2025
MONDO_0019609,Zellweger syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Specific population)",2025
MONDO_0010568,Aicardi syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, United States)",2025
MONDO_0008156,Albers-Schönberg osteopetrosis,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0008692,Abetalipoproteinemia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007318,Alagille syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0008963,Chédiak-Higashi syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0007276,Cat-eye syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0007405,Crouzon syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0009044,Crigler-Najjar syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
Orphanet_160148,Cap polyposis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016063,Cowden syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Netherlands)",2025
MONDO_0010561,Coffin-Lowry syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0010627,X-linked lymphoproliferative disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0015719,Severe hemophilia A,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0018919,McCune-Albright syndrome,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0010651,Menkes disease,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Europe)",2025
Orphanet_2443,Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0018770,Jeune syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Europe)",2025
MONDO_0015541,Familial hemophagocytic lymphohistiocytosis,1665,0.5,"Orphanet Annual incidence (1-9 / 1 000 000, China)",2025
MONDO_0018921,Meckel syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009162,Ellis Van Creveld syndrome,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0011925,Laminin subunit alpha 2-related congenital muscular dystrophy,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
EFO_1001475,Schistosomiasis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0011013,Bartter syndrome,1665,0.5,"Orphanet Annual incidence (1-9 / 1 000 000, Europe)",2025
MONDO_0015607,Chromosome Y microdeletion syndrome,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Worldwide)",2025
MONDO_0012858,Primary CD59 deficiency,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0020380,Autosomal dominant cerebellar ataxia,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0007534,Beckwith-Wiedemann syndrome,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0007041,Apert syndrome,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, United States)",2025
MONDO_0007163,Familial paroxysmal ataxia,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, United States)",2025
MONDO_0017778,Lamellar ichthyosis,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0015717,Mild hemophilia B,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0015716,Moderate hemophilia B,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0015715,Severe hemophilia B,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0010390,Ocular albinism with late-onset sensorineural deafness,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009196,Ermine phenotype,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
